simulation_id,mean_daily_return,estimated_se,ci_lower,ci_upper,covers_trus_mean,t_statistic,p_value,reject_null,sample_sharpe
90,-0.00012351218335567084,0.0006546508315583951,-0.0014128209588294039,0.0011657965921180622,True,-0.18866879472473946,0.850504866410308,False,-0.18866879472473946
91,-0.0008076685751788946,0.0006153152545042786,-0.002019507496129619,0.0004041703457718297,True,-1.3126093807467576,0.1905135431500198,False,-1.3126093807467576
92,-0.00046923480363833265,0.0006380899749500662,-0.0017259276306931933,0.0007874580234165279,True,-0.7353740413725394,0.4627982966970415,False,-0.7353740413725395
93,-0.002050754383765211,0.0005987964067186547,-0.003230060091002573,-0.0008714486765278493,False,-3.424794071499431,0.0007185329325640349,True,-3.4247940714994316
94,-0.0009800795009705047,0.0006409670433798215,-0.002242438599868772,0.0002822795979277625,True,-1.5290637967945153,0.12750786681039677,False,-1.5290637967945153
95,-0.0004416056215283671,0.0006712334387375198,-0.0017635731823050743,0.0008803619392483402,True,-0.6579017016180765,0.5112042178368928,False,-0.6579017016180764
96,0.0004260242872401452,0.0006211488282051121,-0.0007973036250969537,0.001649352199577244,True,0.685865074351337,0.49343120726305245,False,0.6858650743513371
97,3.1784577887630096e-05,0.0006554688372680996,-0.0012591352272970085,0.0013227043830722686,True,0.0484913638611771,0.9613632092401538,False,0.0484913638611771
98,-0.0005292889430020192,0.0007087993322846171,-0.0019252410370198857,0.0008666631510158474,True,-0.7467401828610697,0.45591929537489867,False,-0.7467401828610698
99,-0.0002850572452062569,0.0006021007209075707,-0.0014708706678169424,0.0009007561774044287,True,-0.4734378075093128,0.6363123591808769,False,-0.47343780750931275
100,0.0008837666275620163,0.0006305902064198245,-0.00035815570365914286,0.0021256889587831754,True,1.401491203898647,0.16230252522187577,False,1.4014912038986471
101,0.0006846771971150776,0.0006034545819319622,-0.0005038026009363365,0.0018731569951664917,True,1.1345960700523325,0.25762696896071624,False,1.1345960700523325
102,-0.00016021419143955867,0.0006135995392378411,-0.0013686740794117923,0.0010482456965326748,True,-0.26110546243004434,0.7942252870148174,False,-0.2611054624300444
103,-0.0014598420817545903,0.0006547348005630768,-0.0027493162308433634,-0.00017036793266581702,False,-2.2296692958723368,0.026654505272742875,True,-2.229669295872337
104,-0.0007674854727577263,0.0006694558330413341,-0.002085952109816108,0.0005509811643006553,True,-1.1464318254888366,0.25270824835907163,False,-1.1464318254888366
